grid_id,institute,city,state,country,requires_manual_review,alt_grid_id,alt_institute,input_name,input_city,input_state,input_country,wos_institute_name
grid.11794.3a,University of Santiago de Compostela,Santiago de Compostela,NA,Spain,FALSE,NA,NA,UNIVERSITY SANTIAGO COMPOSTELA,SANTIAGO DE COMPOSTELA,nan,Spain,UNIV SANTIAGO COMPOSTELA
grid.411048.8,Complejo Hospitalario Universitario de Santiago,Santiago de Compostela,NA,Spain,FALSE,NA,NA,UNIVERSITY HOSPITAL SANTIAGO DE COMPOSTELA,SANTIAGO DE COMPOSTELA,nan,Spain,UNIV HOSP SANTIAGO DE COMPOSTELA
grid.452372.5,Centre for Biomedical Network Research on Rare Diseases,Madrid,NA,Spain,FALSE,NA,NA,CIBERER,MADRID,nan,Spain,CIBERER
NA,NA,NA,NA,NA,NA,NA,NA,CIBER,MADRID,nan,Spain,CIBER
grid.7870.8,Pontificia Universidad Católica de Chile,Santiago,Región Metropolitana de Santiago,Chile,FALSE,NA,NA,PONTIFICIA UNIVERSITY CATOLICA CHILE,SANTIAGO,nan,Chile,PONTIFICIA UNIV CATOLICA CHILE
grid.5390.f,University of Udine,Udine,NA,Italy,FALSE,NA,NA,UNIVERSITY UDINE,UDINE,nan,Italy,UNIV UDINE
grid.4708.b,University of Milan,Milan,NA,Italy,FALSE,NA,NA,UNIVERSITY MILANO,MILAN,nan,Italy,UNIV MILANO
grid.410511.0,Paris-Est Créteil University,Paris,NA,France,FALSE,NA,NA,UNIVERSITY PARIS EST EXT,PARIS,nan,France,UNIV PARIS EST EXT
grid.440907.e,PSL Research University,NA,NA,NA,NA,NA,NA,PARIS SCIENCES LETTRES EST EXT,PARIS,nan,France,PARIS SCIENCES LETTRES EST EXT
grid.4307.0,Paris Observatory,Paris,Île-de-France,France,FALSE,NA,NA,PARIS OBSERV,PARIS,nan,France,PARIS OBSERV
grid.508487.6,University of Paris,Paris,NA,France,FALSE,NA,NA,UNIVERSITY PARIS VII DENIS DIDEROT,PARIS,nan,France,UNIV PARIS VII DENIS DIDEROT
grid.5583.b,Atomic Energy and Alternative Energies Commission,NA,NA,NA,NA,NA,NA,CEA FRANCE,GRENOBLE,nan,France,CEA FRANCE
grid.433124.3,Institut National de Physique Nucléaire et de Physique des Particules,Paris,NA,France,FALSE,NA,NA,CNRS IN2P3,PARIS,nan,France,CNRS IN2P3
grid.25697.3f,University of Lyon System,Lyon,NA,France,FALSE,NA,NA,PRES UNIVERSITY LYON,LYON,nan,France,PRES UNIV LYON
